	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	aoz	Amfo'an	2020 Unit Bahasa dan Budaya (UBB)	AOZUBV	NULL	Indonesia	2022-02-09	2021-04-23	2022-01-24	
	sur	Mwaghavul	2006 Wycliffe Bible Translators Inc.	SURIBS	295000	Nigeria	2022-02-08	2022-03-02	2018-04-04	
	sho	Shanga	SIM Nigeria 2017	SHOSIM	7000	Nigeria	2022-02-08	2022-03-02	2022-05-20	
	pbs	Pame, Central	1998 Bible League	PBSUNT	4350	Mexico	2022-02-08	2021-12-03	NULL
	kbd	Kabardian	2009 Institute for Bible Translation, Moscow	KBDIBT	516000	Russia	2022-02-07	2022-03-01	NULL
	bvc	Baelelea	2014 Wycliffe Bible Translators, Inc	BVCWBT	8800	Solomon Islands	2022-02-07	2021-05-30	2018-04-04	
	ann	Obolo	1991 Wycliffe Bible Translators Inc.	ANNWBT	250000	Nigeria	2022-02-07	2021-04-22	2018-04-04	
	kru	Kuruk	Friends Missionary Prayer Band	KRUDEV	1890000	India	2022-02-07	2022-03-01	2018-04-04	
	bqc	Illo Busa	2017 SIM Nigeria	BQCIBV	NULL	Nigeria	2022-02-02	2021-05-30	2022-04-06	
	smo	Samoan	Bible Society of South Pacific	SMOBSP	199000	Samoa	2022-02-01	2022-03-02	2018-04-04	
	rai	Ramoaaina	2006 Wycliffe Bible Translators, Inc	RAITBL	10300	Papua New Guinea	2022-01-31	2021-11-30	2018-04-13	
	aca	Achagua	Wycliffe Bible Translators, Inc.	ACAWBT	250	Colombia	2022-01-31	2021-04-15	2019-01-11	
	xmm	Manadonese Malay	2017 LAI	XMMLAI	850000	Indonesia	2022-01-26	2021-07-09	2022-04-06	
	ntk	Ikoma	Wycliffe Bible Translators, Inc.	NTKWYI	36000	Tanzania	2022-01-26	2022-01-03	NULL
	nga	Ngbaka	1995 Kinshasa: La Société Biblique du Zaïre	NGADRC	1010000	Democratic Republic of the Congo	2022-01-26	2022-03-01	2021-06-15	
	sne	Bidayuh, Bau	Roman Catholic Archdiocese of Kuching	SNECAK	29200	Malaysia	2022-01-26	2022-03-02	2020-01-29	
	kxf	Manu	Wycliffe Bible Translators, Inc.	KXFWYI	10000	Myanmar (Burma)	2022-01-25	2021-12-10	NULL
	mmy	Migaama, Centre	Wycliffe Bible Translators, Inc.	MMYWYI	20000	Chad	2022-01-25	2022-03-16	NULL
	tnp	Nerak	2014 Wycliffe Bible Translators, Inc.	TNPWYI	7500	Vanuatu	2022-01-25	2022-02-01	2021-12-07	
	tsz	P'urhe jimbo (Purépecha)	Bible Society of Mexico	TSZPNT	40000	Mexico	2022-01-25	2022-03-02	2021-06-02	
	gbp	Gbeya	ACATBA (Association Centrafricaine pour la Traduction de la Bible et l’Alphabétisation, 2020	GBPACA	200000	Central African Republic	2022-01-25	2022-02-17	NULL
	ter	Terêna	1994 Liga Biblica do Brasil	TERTBL	15800	Brazil	2022-01-25	2022-03-02	2018-04-13	
	hoy	Holiya	2020 The Word for the World International	HOYWFW	500	India	2022-01-25	2021-07-13	2021-12-09	
	nnw	Nuni, Southern	1999 Wycliffe Bible Translators Inc.	NNWWBT	168000	Burkina Faso	2022-01-25	2022-03-01	2018-04-04	
	nfr	Nafaanra	1983 Wycliffe Bible Translators Inc.	NFRIBS	61000	Ghana	2022-01-25	2022-03-01	2018-04-04	
	kpq	Kimyal of Korupun	2009 Indonesian Bible Society	KPQBSI	8000	Indonesia	2022-01-25	2022-03-01	2018-12-04	
	sza	Semelai	The Bible Society of Malaysia and Wycliffe (M) Berhad	SZABSM	4100	Malaysia	2022-01-25	2022-01-25	2021-12-07	
	bnp	Bola	2011 Wycliffe Bible Translators	BNPWBT	13700	Papua New Guinea	2022-01-25	2022-01-26	2018-05-16	
	sag	Sango	2003 Bible Society	SAGCAR	350000	Central African Republic	2022-01-25	2022-03-02	2018-04-04	
	pxm	Mixe, Quetzaltepec	2013 Sociedad Bíblica de México, A.C.	PXMBSM	8090	Mexico	2022-01-24	2022-03-02	2018-04-04	
	gso	Gbaya Southwest	2005 Bible Society	GSOCAR	220000	Central African Republic	2022-01-24	2022-03-02	2018-04-04	
	enx	Enxet	Sociedad Bíblica Paraguaya 2015	ENXENX	NULL	Paraguay	2022-01-24	2018-04-13	2018-04-13	
	dtp	Kadazan Dusun	Baibol Kadazan (Archdiocese of Kota Kinabalu Version)	DTPAKK	141000	Malaysia	2022-01-24	2022-03-02	2022-04-06	
